isosmiles,valid
C1CCCCCCCCCCC1=O,True
C[C@H]1CCCN1C(=O)C1CCC2CCCCC2C1N1CCCC1=O,True
CCN1CCCN(CC2CCOCC2)CC11CC2CCC1C2=O,True
S(=O)(=O)C1CCC2CCCC2=C1CC#NC1CC1C1C2CC11CC3CCC1C3(Cl)C2(Cl)Cl,False
CC(Br1)C2C3C4C5CC(CCC15)C2(C4)C3Cl,False
CC1(C2N3C(=O)CSC3=O)CCCC11CCOCC1C2=O,True
CC1(CCC2CCOCC2)CCC11CCOCC1OCCOC1CCCCO1,True
C(=C)CS(=O)(=O)N1CCNC2(=O)C1C2(C)C12CC11CC1C21OCCO1,False
CCCC1CCOC2(CCCC3C2)C11C2CC2C3C1=O,True
CC12CCC(CC1)C2(F)F,True
C(=C1)CNN=C23CCOC22CCO4C32C(=O)N1C#NC1CC112CC1C1CC1C2CCC4=O,False
C1CCCCC1OCC#CC(O)=O,True
CC(=O)N1CCC(C1)N1CCCC1=O,True
C=C1(Cl)C(Cl2)C(Cl)=CC=C1C13=CC4=C2C2CC(CCC2C4(Br)C1=O)3,False
C1CCCC1CC1#CCCCC1=O,False
CC1(CCCCC1)N1C(=O)C2CCC2C1=O,True
CC=CCN1C(=O)CSC1=O,True
C12CCCCC1S1CC34CS(=O)(=O5)C3C21C#NC#NC#N45C#N=C1CCCC1C1#NC2CC2C1=O,False
C1C2(CCOCC2)C2CCCC2O1,True
S(=O)CC1(CCC1)C1C2C11CC3CC1C3C2=O,True
C1(CCOC1)C(=O)OCCOCCOCCSC1CCCC1=O,True
S(=O)(=O)CC1C(C2CC2)C#NC112COC11C3CC4C1C23C#NC4=O,False
CCC(=O1)NC2CC3C=CCC23C(=O)NC2CC22CCOCC2C1=O,False
CC(=O)NC1CCSC1=O,True
NC(=O)CN1C(=O)C2CC2C1=O,True
CC1(CCOC1)N1C(=O)CCSC1=O,True
C(=C)CS(=O)(=O)NC1CCC(=O)NC1=O,True
C=C1(Br)C(=O)C(Br)=C(N=O)C1(C(F)(F)F)C(F)(F)F,False
C(=C)CN1CC2=C3CCC2C1C3=O,True
C1CCCC1CCC1CCOC1=O,True
CC1CN(CCO1)C1CCOC1=O,True
C1C2CCN(CCC3CCCO3)CC2C1=O,True
C1(CCC1)C(=O)NCC1CCC=CC1=O,True
CC1(C2CCOC2)C2CCCC2O1,True
CC1CCN(CC1)C(=O)CO1C2CC3CC2C=C3C1=O,False
CC1CCCN(C1)C(=O)[C@@H]1OCC[C@@H]1C(=O1)NC2CC3CCC2(C)C3C1=O,False
CCOCCN1CC2CC1CO2,True
C(=C)CN1CCCCC1=O,True
C1CCC(CC1)NC(=O)C1CC2C3COCC23C1=O,True
C1(CC(=O)N2CCOCC2C2CC2)CCC11C2COCC12Cl,True
C1CC(=O)N(CC(F)(F)F)C2CC2C(=O)C1=O,True
C(=O)C1(CCC1)N1CCOCC1=O,True
CS(=O)(=O)N1CCC112CCC1C#N1C2=CC=CC1=O,False
CC1CCCN(C1)C1CC2CCC(C1)S2(=O)=O,True
C(=C)CS(=O)(=O)N1CCCO1,True
CC=CCN1CCC(C1)N1CCCC1=O,True
C1CCCCC1OCC1CC2CC211C2CC223CC2C11CC1C3=O,False
C1=NCC2(C3CNCC2)N1CC1=CCCC2C1N3CN1C2=S2CCNCC2C1=O,True
C(=C)CN1CCc2ccccc2C1=O,True
C1C2(CCCC2)C2CCCC2O1,True
C1CCC1C1CCCCO1,True
C1CCCCC1OCC(=O1)NC2CC#NCC2C1=O,False
C1(CCOC1)C(=O)NC1CC11CCOCC11CCOC1=O,True
C1C2CC3C4S(=O)(=O)CC232C3C56CC33C5C65C2C43C#NC5(O)C1OC1OC(CO)C(O)C(O)C1OC(=O)CCCCCCCCCCCCCCCC(O)=O,False
CC=CCN1C(=O)[C@H]2CCCCN2C1=O,True
CC1CCCCN1S(=O)(=O)CC1CC1C1CC11CC112CCC11CC1C21OCCO1,False
CC12CCC(CC1)C2C1CC1(F)F,True
CCC(=O)N1CCOCC1C(O)=O,True
cc12coc3cc(Br)c(Cl)cc3c1nc(Cl)c2CCl,False
CCN1CCC2(CCC2)C1=O,True
CCCC1CCCN1C(=O)C1C2CC113CCC1C23C(=O)OC1CC2CCC1CC1C2COCC11OCCO1,False
CCCCCN1CCC1C(N)=O,True
C1=C(Cl)C(=O)C(Cl)=C1Cl,True
P(=O)(CSCC1CC1)CCCCCCC(=O)ON1C(=O)CCC1=O,True
CC1CCCCN1S(=O)(=O)CC1CCCCN1C12CC11CCC1C2=O,True
C1CC(C1)NC(=O)[C@@H]1CCCO1,True
c12nnc(SCc3cccc(c3)OCO)cc1cc1coc2C(O)Oc2ccccc21C=O,False
C1(CC1)C(=O)N1CCCC1CC1CCOC1=O,True
CC(=O)NCCC1CCCO1,True
CCC1CCN(CCC#C)CCC1=O,True
C1CCSC2(CSC2)C1=O,True
C1(CCC(=O)CC1)C1C2CCC3CC13C2(Cl)Cl,True
S(=O)(=O)N1CC2CC1CO2,True
CC(C#N)=C(Cl)C1CC2CCC1C2(Cl)C(Cl)C(Cl)=CCl,True
CCC1CCCCN1CC1C2CCOC2C11CCCC11OCCO1,True
c1noc(-c2ccccn2)c1-c1cccnc1Cl,True
CC1CCC(CC1)NC1CCCC11C2C3OCC12C1=C3C=CC1=O,True
C12C3CCN(CC4CCCNC4)CC13C#NCCOCCOCCOCCN=[N+]=[N-]1CN(CCN3CCC(F)(F)C3)C(=O)OC11CCCCC1C2,False
CCN1CCC2CCCC12C#NC1C2C11CC113CC1C2O3,False
CCC1NCC2CS=CCC12S(=O)(=O)N1CCCCCC1=O,True
CCN1C(=O)C2C3CCOC3C22CC2C1=O,True
CC1=CC=C2C(=CC3=CSC4=NCCN34)N2C1=O,True
CCCCN1C(=O)NC2(CCCC2)C1=O,True
CCCCCCN1CCC(CC1)C(F)(F)F,True
C1CCCCCN2CCSCC2C1=O,True
CC1(COCC=C)CCOC1=O,True
CC12CN(CCO1)S(=O)(=O)C1CCC1C1CC11CC11CC1C2=O,True
CC1(CNS(=O)(=O)N2CC3CCC2C3)CC11CC2CCC1C2C(F)F,True
CC(=C)CN1C[C@H]2CCCC[C@H]2C1=O,True
CC1(CCCSC1)C#CCOC1C2CCC1O2,True
CCN1CCC2(CCCC2)C1=O,True
CCCCN12CCS(=O)(=O)CC1C1CC1CC212CCC11CC1C21OCCO1,False
CC1CCCN(CCCC#N)C1=O,True
CCCNC(=O)CC1CC2C=C1NC(=O)NC2=O,True
C(=C)CNC1CC2CCCC1C#NC2(Cl)Cl,False
CC1(C[C@@H](O)CO)CC2CCC1O2,True
CCC1(CNC1)C(F)(F)F,True
C1C2(CCOCC2)C2CCC2C11OCCO1,True
C1CCOC2(CCC3(CC3)CC2)O1,True
CC1(CNC(=O)C2CCCCCC2)CCC11CCOCC1C1CCCO1,True
C1CCCCC1OC1CCC1Cl,True
C1COCC1=O,True
C(=O)C1CC2CCC11C3CCC1C23C(=O)NC1CCOC11C2CC22CC2C1(Cl)Cl,True
C(=C)CS(=O)(=O1)N2CCO3C(CC2)C1C#NC3=O,False
CC1(CC1)NC(=O)C1CCC(=O)N1C1C2C1C1CC1CC2=O,True
