isosmiles,valid
CCOCCN1CCSSCC1=O,True
C(=C)CNC1=NCCCCC1=O,True
CCC#CC1CC2CCC1C2=O,True
C1(CN2CCCC2=O)CC11CC11CC1C(F)(F)F,True
CCCC1CCCCI1C(=O)N1CCCC1=O,True
C1CCCC=C1Br,True
CC(C[C@H]1CCCO1)CS(F)(=O)=O,True
CC(=O)NCC1CCCS1(=O)=O,True
C12C(CN3C[C@H](O)[C@H](O)C3)CCCCC1CC21CCC11C2COCC12C1CC1(F)F,True
Cc1cc(Cl)ccc1Cl,True
CC12CCCCN(C1)C(=O)NC13C4C5CCC1C5C1CC1C24C12CC45CC1C=C4C1C2CC5C1C3=O,True
C1CCN(CC1)C(=O)C1CCCO1,True
CCBr,True
CC1CCC(CCS(Cl)(=O)=O)C1=O,True
CC1COCCN1C1CNC1=O,True
Cc1cc(Cl)cc(Cl)c1Cl,True
CCCN1C(=O)N(CC=C)CC2=C1CCC2=O,True
C(=C)CNC(=O)N1C2C3CCCC13C2C(=O)N1CCCC1=O,True
CCC1C(=O)C2=COCC2O1,True
C(=C)C(=O)N1CC2CCC2(N)C1=O,True
