isosmiles,valid
CCCCN1C(=O)CSC1=O,True
CCC(=O)NC1CCC(=O)NC1=O,True
CC1CCCN(CC2CCCC2)C1=O,True
CC1CN(CCO1)C(=O)C1C2CCCC12C(=O)N1C2COCC12C1CC1(F)F,True
C1(CCCCC1)C1#NCCO1,False
CCN1CCCN(CC2CCOCC2)CC11CC2CCC1C2=O,True
C1CCN(CCC2CCC2)C1=O,True
C1COCC1C=CBr,True
C1CC2C(CC11)C(Cl3)C45CCC2C4C15C1#NCC24CC1C2C34C1#NOCC1=O,False
CC1CN2CCSC3C4OCCC23C(=O)NC2CC2C2C3C22CC2C1C1=C2C1CCCC32C4OC[C@H]OC([C@H](OC1(=O)C[C@H]1C(O)=O)C(=O))OCC(NC)[C@@H](OC)OC(Cl)=O,False
c1nc(O)nc2sccc12C1CC(=O)OC1=O,False
C(=C)CN1CCN2C(C1)C1CC1CC2=O,True
CCC1CSC2CCCC2O1,True
C1CCCC(C1)N1C(=O)CNC1=O,True
CCN(C1C2C1)C(=O)C13CCCCCCC1N3C2=O,True
S(=O)(=O)CCCC1CCO1,True
CCCNS(=O)(=O)N1CC2C3C4CC1C3C13C5C1CC4C25C(=O)N1CCS(=O)(=O)CC1C1CCC1C3=O,True
C1CCC(=O)C1=O,True
C(=C)C(=O)NC[C@@H]1C[C@H]1C1CCCCC1NC(=O)NC12CCOC1C1CC1C2=O,True
C(=O)CC1CCCCN1CC(=O)N1CC#CC1=O,True
C(=C)CNC(=O)C(Cl)=C(Cl)Cl,True
CC1CCCN1C1C2CCCOC2C1(F)F,True
CC1=NOCC11C2CC22CC2C1=O,True
c1c(Cl)cccc1Cl,True
CCN1(C2CCCCC2)C(=O)C2CC3CC2C=C3C(=O)NC2CCCC22CCOCC2C1=O,False
C1(CCC=C)CCC11CCN2CC11CCC1C2C1CC1(F)F,True
CCN(CC1CCCCC1)C1CC1(Cl)Cl,True
CC(=O)NC1CCCS(=O)(=O)C1C(=O)NC12CC3CC1C1CCCC31C2=O,True
CC1COCCN1C(=O1)CC2CCSCC2C1=O,False
C1C(=O)NCCCOC23CCCCC2CC3CC11CC2CCC1O2,True
P(c1ccccc1)c1ccccc1Br,True
C1CC2CCC(C1)N2C1CCCC1=O,True
CCOCCCN(CC(=O)NCCC(C(F)(F)F)C1(CCC))1,True
C(Cl)=C(C(F)(F)F)C(F)(F)F,True
C1(CCC1)C(=O)N1C2COC3C1COC21CC2CC1C=C2C3=O,True
