isosmiles,valid
C1CCC(CC1)NC(=O)CC123CCC=C1N(C1CCCC1)C(=O)C23C1COC1COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCBr,False
S(=O)(=O)CCOCC(F)(F)C(F)F,True
c1cn2ncsc2nc1Cl,False
CC1CCCNC1=O,True
C1=NC(=O)C2(CCSC2)N1C1C2C1C1CCC2C1=O,True
C[C@H](I)[C@@H](F)C=O,True
CC1(CCOCC1)C(=O)NC1CCO2C1C1CC1C2=O,False
CC1(CC2CCOC3C2)C2CC4CCC12CC412CC4C5C6C1C4C(=O1)C6C2C53C2#NNC(=O)CC12C1=C/c2ccccc2C1=O,False
CC12CCCN(CCC1)C2=O,True
C1CCCN(CC2CCCS2(=O)=O)C1=O,True
C1CC2COCC1O2,True
CCNC(=O)N1C2CC=CC2CC11CCC1C(O)=O,True
S(=O)(=O)C1CCS(=O)(=O)C11CCC1CN=[N+]=[N-]C1C2COCC12C(=O)OCC(Cl)Cl,False
C1(CC=C)CC2OC3C1CC21CC1C3(F)F,True
CC1(CCCCC1)NC(=O1)C2CCOC2C11CCCC1C1=CCOCC11CCCCC1=O,False
CCNC(=O)C12CCC(=O)N1C2=O,True
CC1(CC2CCOCC2)CC1F,True
C(=C)CNC(=O)N1CC2CC3CC2C1C3=O,True
CCCC1CCC=CC1=O,True
CCC(=O)NC1C2CC3CCC2CC3C1=O,True
CCCCCSSCC12CC11CC1C21OCCO1,True
CCCC(=O)NCC1CCCNC1=O,True
CCC1CCC(=O)N2CCC3(CCC3)C2C(=O)N1C1C2C11CC11CC1C2=O,True
c1cc23cc(CN(C4c5ccccc5)CCC56CC4c4cc)ccc24OC13OCCOC1COCCOCCC5N6C(=O)c2ccccc2C(=O)OCCO1,False
C(C#N1)CC2CCC3(=O)CC2C11C2C4C5C1C=C4C32CNC5=O,False
C=CC1=CC=CN2=C=C=CC=C2S1(=O)=O,False
C1(CC1)C(=O)N1CC2C=CC1CC21CCOCC1C1CCC11OCCO1,True
CC12(CNCC3CCCC3)CCCC11CCS(=O)(=O)C1OC2=O,False
CCCCC(=O1)NCC2CCS(=O)(=O)C2C11CC2CCC1C2(Cl)Cl,False
CC=CCN1CCN2CCOCC2C1=O,True
CC(=O)N1C2COCC1C#NC2(Cl)Cl,False
CCC(=O)NCC1CCCCS1(=O)=O,True
C(=C)CN1C(=O)C2CCCCN2C1=O,True
C1CCN(CC2CCCSC2)C1=O,True
