isosmiles,valid
CC1CCCCN1C(=O)CN1CCCC1=O,True
CC1(CN2CCOCC2)CCC11CC1(Cl)Cl,True
CCC1NC2CCC=CC2C1(Cl)Cl,True
C1CCN(C1)S(=O)(=O)C1CC1(Cl)Cl,True
CCC(=O)N=S1(=O)CCCC1C12CC3C1CC2C31CCCC1=O,True
C1=NN(Cc2ccccc2)C(=O)N1CN1CCOCC1=O,True
CCC(=O)NCC1COCCO1,True
CC(=C)COCC1CC2CC12Cl,True
CC1CCN(CC1)C(=O)CCC1CCCCO1,True
CCC1CCCCN1C(=O)C1CCCO1,True
CC1CSCCN1S(=O)(=O)C(F)F,True
CC(CC=C)CC1=CCCC11CCOC1=O,True
C1C2CC3(CC1)OCC14CC11C5C1C4C2CCC35COC1COC1(C)C1CC1(Cl)Cl,True
C12CC(CCN3CCCC4(CC4)CC3)C1CCC21C2CC1(Cl)C2(Cl)Cl,True
CC1COCCN1CC=CCl,True
CCC(=O)N1CCS(=O)(=O)CC1CC(O)=O,True
CC1(CCCC1)NS(=O)(=O)CC1CCCO1,True
C1C(CNCCC2(C3C2)C3)CCOC1=O,True
C12CC3CC(CC13)C2=O,True
C1CCCC(C1)NS(=O)(=O)C1CC1C1C2C1C1C3C4C2C1C(=O)C4(Cl)C(O)C31OCCO1,True
