isosmiles,valid
CC1(CCC1)N1C(=O)C2CC3CCCCC3N2C1=O,True
CC(=O)OC1CCC1(Cl)Cl,True
CCN1CCC2(CC1)NC(=O)NC2=O,True
CCC(=O)NC1CCSC1C1CCCCC1=O,True
CC(C1CC1)N1CCCS1(=O)=O,True
C(=O)CCCNCC1CCCO1,True
C1CCCCC1OC1COC1(Cl)CBr,True
CC1(CCCCC1)C1C2COCC12C(F)(F)F,True
C1CCC2CN(CC12)C(=O)C1CC2CC3CCCCC13C(=O)NC1CCC11CCCCC1O2,True
CC1NCN(CN2CCCC2=O)C1=O,True
CC1NCCN(C2CCCCCC2)C1=O,True
CC1(CNC(=O)CC2C3CNCC2)CC11CCC1C1CC11CC11CC1C31CCC11OCCO1,True
C1COCC1NC(=O)C1CCCCS1(=O)=O,True
CCC1COCCN1C1CC1(Cl)Cl,True
C(=C)CN1CCNC(=O)C1CC(O)=O,True
C1CCCN(CCO)C2C3CCC2CC3C1=O,True
S(=O)(=O)N1CCN(CC1)C1CC2CC=C1C2=O,True
CCCN1CCC2CCCCCC2C1=O,True
C1CCN(CC11)C(=O)[C@@H]2CCCN2C1=O,True
C[C@H]1CCCN1C1CCCC2=C1C1CCCC21C1CC1(Cl)Cl,True
