isosmiles,valid
CCCNS(=O)(=O)N1CC2CCC1C2=O,True
S(=O)C12CCC(CC1)(CC2)C1#NC2CCCC2O1,False
CC(=O)OCCOCCOCCOCCOCCBr,True
C1CCCCCC1OC1CCOCC1OC1CC1=O,True
CCN1CCC(CC#N)CC1C(F)(F)F,True
CCC(=O)NC1CCC2CCC1O2,True
CC1(CNC(=O)CC2CCC2)CCCC11CC2C11C3CC33CC4CC3C11C24OC2CCCC(Br)C2O1,True
CC1(CC2(CCC2)C1)C1CCS2CC1CC21CCOCC1C1CC1(F)F,True
CCNS(=O)(=O)CBr,True
C(=C)CN1C(=O)C2CCCC2C1=O,True
CCN(C1CCCC1)C(=O)C1CCCS1(=O)=O,True
CC1CCCN(CC1)S(=O)(=O)CC1=CC2CC1C(=C)C21CC2CCC1C2=O,True
C(=O)OCC(Cl)Br,True
cn1cccc2cccc(Cl)c121c(O)c(Cl)c(Br)cc(Br)c1=O,False
CC1CCCCN1CC1CCC#NC1=O,False
C(=C)CN1C(=O)C2=CCCC2C1=O,True
C1CCN(CC1)S(=O)(=O)CC1C2CC11CCCCC1C2=O,True
C(=C1)CS(=O)(=O)NCC2C3CC(=O)N2C2CCOCC22CC13CC1#NC3CC33CC3CC1C2=O,False
CCCF,True
CC(C1NS(=O)(=O)NCCC(O)=O)CCCC11CCOCC1OCCOCCOCCOCCOCCOCCOCCOCCO1CCOCCOC2COCC121OCCO1,False
CC1(CNS(=O)(=O)N2CCO3CC2)CCC112CCOCC1C1(Cl4)CC1CC2C34Cl,False
CCC1(CC1)C=O,True
CCCN1CCCCCCC1=O,True
C(=C)CNCC1CCCC1CCl,True
CC(=O)N1CCCS(=O)(=O)CC11C2CC22CC3CCC2C3O1,True
CCC(=O)N1C2CC22CC3CC2C1C3C(=O1)N2CCOCC22CC22CC2C11C2COCC12C(F)(F)F,False
S(=O)(=O)C1CO2C(C1)C1CC11CC11CC1C2=O,False
c1nnc(-c2ccc(Br)cc2)s1c1ccc(Cl)cc1Cl,False
c1nc2ccccc2n1C1CCCNC1=O,True
n1nnnn1c1ccccc1=O,False
S(=O)(=O)C(C1CCC1)C12CCC1C1#NC34CC1C3C24C#NCCl,False
CC(=O)NC(=O)NCCOC1CC2CCC1C21OCCO1,True
CC1(CC2CCCC2)CCCC11C2C11CC11CC1C2(F)F,True
C1(CCC1)C(=O)N1CCC#NC11CC1C1CC=CC1=O,False
CC1CCS(=O)(=O)CC1C1CCNCC11CC1C#NC1CC112CCC11C3C1C212C4CCC1CC341C3CC11CC13C1OC21C(=O)CCl,False
CC1(CN2C(=O)NC3(CCCCC3)C2=O)CC2CC11CCOCC1OC1CCO3CC1CC31CC3C1C21CC1C3(F)F,False
CC1(CNC(=O)N[C@@H]2CCCOC2)CC11CCC11CCOC1=C1CC2C1C1CC1C2(F)F,True
N=C(CN1CCCC1)N12C3CCC1CC3C2=O,False
C1CCCC(CCC#C)N1C12CC1(CO)CCC21CCN(CC2CCCC2)CC1=O,True
C1=CCCCN1C(=O)CC1#NCCC1=O,False
C(Cl)CNC(=O)C1COCCO1,True
C1CC(=NO1)C1C2COCC12C1=CC2CC1C2(Cl)Cl,True
cccc(-c1csc2ccccc2c1[N+])O,False
S(=O)(=O)CCOCC12CC113CC1C2C31CC112CC11CC3CCC1CC3C2OCCOCCOCCOCCOCCOCCOCCOCC#CCC#CO=O,False
C1CCCN(C1)C1(=O)C2C3CCCC3C=C2C1=O,False
ccc1c(C(c2ccc(Br)o2)c2ccc(N)o2COc2ccccc2c)c1O1CCC1c1ccccc1Cl,False
S(=O)(=O)CCOCC1CC11CC11CC11CC11CC1C(=O)N1CC=CC1=O,True
CCN(C1CC1)C(=O)CC1CCCCO1,True
C1(CCOCC1)C(=O)N1CCCNCC1=O,True
