isosmiles,valid
C1CCN(CCCCS(Cl)(=O)=O)CC11CC2CCC1C2=O,True
CC1(CC1)N1C(=O)C2CCCC2C1=O,True
C(=C)CNC1CCCC2(C1)OCCO2,True
C(=C)CN1C2CCC(C11)C3CC4CC33C5=C4CCCC1CNC(=O)C1C4CC4(CNC=CC(C)=O)C31C2O5,True
C(=C)CN1CC2=CCCOC2C1=O,True
c1ccccc1Br,True
CC1(CCCC1)OC(=O)NC1CCC1=O,True
CC=C1CNCC1C1CC2CCC1C2(F)F,True
c1ccc(Br)c(Br)c1Ic1ccccc1Br,True
CC(=O)NCC1COCCO1,True
c1cccc(Cl)c1Cl,True
C1CCCN(CCC2CCCCC2)C1=O,True
CC1OC(=O)CC11CCCN(C1)C1CC11CC11CCOCC1C(F)F,True
CC1(CN2CCCOCC2O)CC1N1CCOCC11C2CCC1O2,True
CCCCCC(=O)NC1COC1=O,True
CC(=O)N1CCNN2CCCC2C1=O,True
c1ccc2cccnc2c1OBr,True
c1ccc(SSc2ccccn2)cc1C(Cl)Cl,True
C12=NC(CC3CCOCC3)C(=O)N1CC1(CCCCC1)N1CCOCC1C2=O,True
CCNC(=O)CC1CCCCO1,True
